gravity,mtk,2026-05-28_22-10-22.697_Active 10 Pro
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
885956365,3,-0.535328,0.725306,9.764026
885956375,3,-0.554482,0.730966,9.762819
885956385,3,-0.570741,0.734803,9.761825
885956396,3,-0.584142,0.73712,9.76103
885956406,3,-0.594803,0.738301,9.760422
885956416,3,-0.602826,0.738512,9.759995
885956426,3,-0.608524,0.738015,9.759727
885956436,3,-0.61213,0.736731,9.759623
885956446,3,-0.613601,0.734624,9.759687
885956456,3,-0.613033,0.73142,9.759947
885956466,3,-0.610566,0.727298,9.760382
885956476,3,-0.606355,0.721986,9.76101
885956486,3,-0.600567,0.715288,9.761839
885956496,3,-0.593495,0.706753,9.76289
885956506,3,-0.586002,0.696496,9.76409
885956516,3,-0.579568,0.685829,9.765223
885956526,3,-0.573984,0.674288,9.766336
885956537,3,-0.569687,0.66264,9.767374
885956547,3,-0.567564,0.652642,9.768173
885956557,3,-0.567178,0.644889,9.768728
885956567,3,-0.568671,0.639987,9.768976
885956577,3,-0.571646,0.637618,9.768953
885956587,3,-0.575745,0.636978,9.768729
885956597,3,-0.580585,0.636863,9.768419
885956607,3,-0.585746,0.636561,9.768103
885956617,3,-0.590963,0.635959,9.767807
885956627,3,-0.596203,0.635057,9.767531
885956637,3,-0.601415,0.634193,9.76726
885956647,3,-0.606578,0.633692,9.76697
885956657,3,-0.611616,0.633573,9.766666
885956668,3,-0.616452,0.633605,9.766371
885956678,3,-0.621137,0.633813,9.766077
885956688,3,-0.625843,0.634719,9.765738
885956698,3,-0.63099,0.637399,9.765256
885956708,3,-0.636759,0.642466,9.764574
885956718,3,-0.642851,0.649959,9.76371
885956728,3,-0.648683,0.659348,9.762743
885956738,3,-0.65368,0.669351,9.761786
885956748,3,-0.657612,0.678354,9.760942
885956758,3,-0.660428,0.68541,9.76028
885956768,3,-0.662269,0.690161,9.75982
885956778,3,-0.66339,0.692843,9.759548
885956788,3,-0.663916,0.694362,9.759399
885956798,3,-0.664095,0.695893,9.759274
885956809,3,-0.664258,0.698202,9.75909
885956819,3,-0.664738,0.701591,9.758809
885956829,3,-0.665644,0.706156,9.758412
885956839,3,-0.667021,0.711386,9.757936
885956849,3,-0.668958,0.716657,9.757416
885956859,3,-0.671674,0.721652,9.756865
885956869,3,-0.675259,0.726355,9.756279
885956879,3,-0.679638,0.730667,9.755671
885956889,3,-0.684562,0.734017,9.755096
885956899,3,-0.689618,0.735674,9.754625
885956909,3,-0.694617,0.735459,9.754287
885956919,3,-0.699674,0.733638,9.754055
885956929,3,-0.705048,0.730664,9.753878
885956939,3,-0.710672,0.726778,9.753743
885956950,3,-0.716314,0.722222,9.753646
885956960,3,-0.72179,0.717096,9.753593
885956970,3,-0.726983,0.711468,9.753592
885956980,3,-0.732079,0.705432,9.75362
885956990,3,-0.737102,0.698976,9.75368
885957000,3,-0.741984,0.692084,9.753781
885957010,3,-0.746709,0.68489,9.753916
885957020,3,-0.751186,0.677493,9.754086
885957030,3,-0.755269,0.669754,9.754315
885957040,3,-0.758742,0.661756,9.754613
885957050,3,-0.761107,0.653479,9.755013
885957060,3,-0.761918,0.645247,9.755523
885957070,3,-0.760913,0.63744,9.756128
885957081,3,-0.757966,0.630366,9.756817
885957091,3,-0.752871,0.624063,9.757591
