rot_vec,mtk,2026-05-28_22-10-22.697_Active 10 Pro
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
885957473,3,-0.009509,-0.04776,0.916424,0.397233,0.0
885957483,3,-0.006152,-0.048734,0.889158,0.454955,0.0
885957493,3,-0.002489,-0.049857,0.8579,0.511385,0.0
885957504,3,7.81E-4,-0.051249,0.824517,0.56351,0.0
885957514,3,0.003478,-0.052226,0.788081,0.613342,0.0
885957524,3,0.005863,-0.052785,0.750602,0.658616,0.0
885957534,3,0.008066,-0.053511,0.710806,0.701302,0.0
885957544,3,0.009975,-0.054414,0.670945,0.73944,0.0
885957554,3,0.01144,-0.05487,0.629624,0.774875,0.0
885957564,3,0.012869,-0.055298,0.58733,0.807353,0.0
885957574,3,0.014405,-0.055952,0.546062,0.835749,0.0
885957584,3,0.015523,-0.056544,0.504048,0.861682,0.0
885957594,3,0.016692,-0.056475,0.463462,0.884157,0.0
885957604,3,0.017881,-0.05673,0.422892,0.904225,0.0
885957614,3,0.019156,-0.057284,0.384275,0.92124,0.0
885957624,3,0.020234,-0.057541,0.345437,0.936457,0.0
885957635,3,0.021374,-0.057659,0.308612,0.949197,0.0
885957645,3,0.021323,-0.047787,0.272073,0.960852,0.0
885957655,3,0.022082,-0.038432,0.237656,0.970337,0.0
885957665,3,0.022464,-0.038588,0.203899,0.977973,0.0
885957675,3,0.023982,-0.031257,0.170958,0.98449,0.0
885957685,3,0.025958,-0.024028,0.140519,0.989445,0.0
885957695,3,0.028259,-0.017456,0.111269,0.993235,0.0
885957705,3,0.030644,-0.012013,0.084379,0.995889,0.0
885957715,3,0.03323,-0.007118,0.058667,0.997698,0.0
885957725,3,0.035902,-0.00262,0.034906,0.998742,0.0
885957735,3,0.038496,8.63E-4,0.011892,0.999187,0.0
885957745,3,0.0411,0.003846,-0.00945,0.999102,0.0
885957755,3,0.043839,0.006468,-0.028614,0.998607,0.0
885957765,3,0.046462,0.008645,-0.045772,0.997833,0.0
885957776,3,0.049107,0.010325,-0.061499,0.996844,0.0
885957786,3,0.051884,0.011486,-0.076004,0.99569,0.0
885957796,3,0.05448,0.01233,-0.089028,0.994461,0.0
885957806,3,0.057081,0.01268,-0.099926,0.993275,0.0
885957816,3,0.059371,0.012867,-0.106962,0.992405,0.0
885957826,3,0.061576,0.012585,-0.113122,0.991591,0.0
885957836,3,0.063597,0.011946,-0.119133,0.990767,0.0
885957846,3,0.065319,0.010769,-0.127326,0.989649,0.0
885957856,3,0.06683,0.009269,-0.135061,0.988537,0.0
