step_detect,mtk,2026-06-10_23-21-52.699_Active 10 Pro
imuTimestamp,accuracy(more=better),unknown
2013593577,3,1.0
2013594256,3,1.0
2013595057,3,1.0
2013595400,3,1.0
2013595717,3,1.0
2013596135,3,1.0
2013596558,3,1.0
2013597238,3,1.0
2013598079,3,1.0
2013598779,3,1.0
2013599137,3,1.0
2013599575,3,1.0
2013600336,3,1.0
2013600658,3,1.0
2013601116,3,1.0
2013601776,3,1.0
2013602199,3,1.0
2013602677,3,1.0
2013603398,3,1.0
2013603715,3,1.0
2013604218,3,1.0
2013604899,3,1.0
2013605256,3,1.0
2013605699,3,1.0
2013606837,3,1.0
2013606858,3,1.0
2013607216,3,1.0
2013608318,3,1.0
2013609079,3,1.0
2013609799,3,1.0
2013610218,3,1.0
2013610957,3,1.0
2013611199,3,1.0
2013611975,3,1.0
2013612378,3,1.0
2013612716,3,1.0
2013613161,3,1.0
2013613839,3,1.0
2013614197,3,1.0
2013614600,3,1.0
2013615299,3,1.0
2013615638,3,1.0
2013616055,3,1.0
2013616719,3,1.0
2013617535,3,1.0
2013618216,3,1.0
2013618639,3,1.0
2013619036,3,1.0
2013619677,3,1.0
2013620080,3,1.0
2013620437,3,1.0
2013621158,3,1.0
2013621555,3,1.0
2013621937,3,1.0
2013622316,3,1.0
2013622638,3,1.0
2013622995,3,1.0
2013623398,3,1.0
2013624018,3,1.0
2013624395,3,1.0
2013625116,3,1.0
2013625419,3,1.0
2013625775,3,1.0
2013626537,3,1.0
2013626839,3,1.0
2013627236,3,1.0
2013627578,3,1.0
2013628261,3,1.0
2013628636,3,1.0
2013628979,3,1.0
2013629378,3,1.0
2013629680,3,1.0
2013630036,3,1.0
2013630439,3,1.0
2013631100,3,1.0
2013631457,3,1.0
2013632218,3,1.0
2013632535,3,1.0
2013633336,3,1.0
2013634318,3,1.0
2013635019,3,1.0
2013635760,3,1.0
2013636157,3,1.0
2013636519,3,1.0
2013637219,3,1.0
2013637637,3,1.0
2013638000,3,1.0
2013638715,3,1.0
2013639475,3,1.0
2013639495,3,1.0
2013639737,3,1.0
2013640438,3,1.0
2013641016,3,1.0
2013641737,3,1.0
